Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,63.4412,63.567,63.41,63.253,63.096,62.939,62.782,62.5654,..,..
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,6.99873377022519,5.7817442068501,6.05291843670451,6.71270351428559,5.1566859021408,6.26456582010254,5.23162237679092,5.29647212446225,6.08839713100776,..
Argentina,ARG,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,12.9075342465753,..,..,..,..,12.9075342465753,..,..,..
Argentina,ARG,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,97.14,98.2,97.04,99.6,99.6,..,..,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.64410645374173,4.62525961600278,4.58977417091963,4.5882296019405,4.6640107478523,4.61908548237078,..,..,..,..
Argentina,ARG,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,..,55.4,81.3,..,..,..,..,..,..,..
Argentina,ARG,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,26.4659610716203,30.6012215884466,33.1873915714789,34.4321395694616,40.4276279370297,37.9322482578709,38.8683983870863,..,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..,..
Argentina,ARG,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1952.05105293095,1936.80353979442,1967.02167752077,2029.92282543737,..,..,..,..,..,..
Argentina,ARG,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,18.4492091453155,16.2378594620246,14.6171733884386,14.4054785893756,10.7056520504538,12.5270951690009,11.320283359718,14.6198312494407,17.4397039105857,..
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,142884643038.3,139877660191.7,150225029637.6,153793761987.6,177184603465.6,189331673190.7,236963418186.1,283624190079.2,279305800305.8,..
Argentina,ARG,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.338,2.33,2.322,2.312,2.301,2.288,2.275,2.261,..,..
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10839930944.6815,15323933916.8241,9821661858.15874,5065335541.96486,11758994011.286,3260164341.77393,11516861462.2845,11872856662.7649,6663062111.95629,..
Argentina,ARG,Forest area (sq. km),AG.LND.FRST.K2,299906,297672,295438,293204,290970,290100,288990,287910,..,..
